[2026-06-03T14:44:08.885Z] GET http://localhost:4321/@fs/Users/benoit/Documents/Projects/P3rform/Strivn/Website/node_modules/astro/dist/runtime/client/dev-toolbar/entrypoint.js?v=21f2fff3 → 200 (27ms, 52465B)
[2026-06-03T14:44:08.885Z] GET http://localhost:4321/src/styles/global.css → 200 (30ms, 139054B)
[2026-06-03T14:44:08.885Z] GET http://localhost:4321/src/components/PremiumLanding.astro?astro&type=style&index=0&lang.css → 200 (33ms, 56612B)
[2026-06-03T14:44:08.885Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (37ms, 246262B)
[2026-06-03T14:44:08.885Z] GET http://localhost:4321/src/components/PremiumLanding.astro?astro&type=script&index=0&lang.ts → 200 (35ms, 183207B)
[2026-06-03T14:44:08.912Z] GET http://localhost:4321/node_modules/astro/node_modules/vite/dist/client/env.mjs → 200 (4ms, 4540B)
[2026-06-03T14:44:08.912Z] GET http://localhost:4321/@id/__x00__astro:toolbar:internal → 200 (4ms, 8955B)
[2026-06-03T14:44:08.913Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/helpers.js?v=21f2fff3 → 200 (7ms, 14267B)
[2026-06-03T14:44:08.913Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/settings.js?v=21f2fff3 → 200 (5ms, 7936B)
[2026-06-03T14:44:08.919Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/window.js?v=21f2fff3 → 200 (3ms, 19284B)
[2026-06-03T14:44:09.353Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (547ms, 48432B)
[2026-06-03T14:44:09.353Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (501ms, 31340B)
[2026-06-03T14:44:09.362Z] GET http://localhost:4321/node_modules/.vite/deps/gsap.js?v=21f2fff3 → 200 (21ms, 169805B)
[2026-06-03T14:44:09.363Z] GET http://localhost:4321/node_modules/.vite/deps/three.js?v=21f2fff3 → 200 (85ms, 1669837B)
[2026-06-03T14:44:09.363Z] GET http://localhost:4321/node_modules/.vite/deps/lenis.js?v=21f2fff3 → 200 (67ms, 34239B)
[2026-06-03T14:44:09.363Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/astro.js?v=21f2fff3 → 200 (68ms, 109029B)
[2026-06-03T14:44:09.363Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/index.js?v=21f2fff3 → 200 (74ms, 37694B)
[2026-06-03T14:44:09.363Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/xray.js?v=21f2fff3 → 200 (74ms, 30990B)
[2026-06-03T14:44:09.363Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/settings.js?v=21f2fff3 → 200 (76ms, 35003B)
[2026-06-03T14:44:09.367Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/toolbar.js?v=21f2fff3 → 200 (70ms, 86326B)
[2026-06-03T14:44:09.367Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/index.js?v=21f2fff3 → 200 (70ms, 6537B)
[2026-06-03T14:44:09.387Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-JVWSFFO4.js?v=21f2fff3 → 200 (52ms, 3100B)
[2026-06-03T14:44:09.440Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/icons.js?v=21f2fff3 → 200 (23ms, 277585B)
[2026-06-03T14:44:09.440Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/utils/icons.js?v=21f2fff3 → 200 (21ms, 5650B)
[2026-06-03T14:44:09.441Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/utils/window.js?v=21f2fff3 → 200 (22ms, 7595B)
[2026-06-03T14:44:09.442Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/utils/highlight.js?v=21f2fff3 → 200 (66ms, 11750B)
[2026-06-03T14:44:09.442Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/annotations.js?v=21f2fff3 → 200 (67ms, 3862B)
[2026-06-03T14:44:09.442Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/rules/index.js?v=21f2fff3 → 200 (67ms, 7035B)
[2026-06-03T14:44:09.442Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/ui/audit-list-item.js?v=21f2fff3 → 200 (75ms, 16740B)
[2026-06-03T14:44:09.442Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/ui/audit-list-window.js?v=21f2fff3 → 200 (67ms, 52021B)
[2026-06-03T14:44:09.442Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/ui/audit-ui.js?v=21f2fff3 → 200 (70ms, 28018B)
[2026-06-03T14:44:09.444Z] GET http://localhost:4321/node_modules/html-escaper/esm/index.js?v=21f2fff3 → 200 (82ms, 12896B)
[2026-06-03T14:44:09.444Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/badge.js?v=21f2fff3 → 200 (82ms, 16480B)
[2026-06-03T14:44:09.444Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/button.js?v=21f2fff3 → 200 (83ms, 25195B)
[2026-06-03T14:44:09.445Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/card.js?v=21f2fff3 → 200 (72ms, 19839B)
[2026-06-03T14:44:09.445Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/highlight.js?v=21f2fff3 → 200 (80ms, 21660B)
[2026-06-03T14:44:09.445Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/icon.js?v=21f2fff3 → 200 (84ms, 5667B)
[2026-06-03T14:44:09.446Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/radio-checkbox.js?v=21f2fff3 → 200 (82ms, 16332B)
[2026-06-03T14:44:09.446Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/select.js?v=21f2fff3 → 200 (82ms, 18147B)
[2026-06-03T14:44:09.446Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/toggle.js?v=21f2fff3 → 200 (82ms, 19016B)
[2026-06-03T14:44:09.446Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/ui-library/tooltip.js?v=21f2fff3 → 200 (84ms, 23080B)
[2026-06-03T14:44:09.447Z] GET http://localhost:4321/node_modules/.vite/deps/gsap_ScrollTrigger.js?v=21f2fff3 → 200 (83ms, 106350B)
[2026-06-03T14:44:09.536Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/rules/a11y.js?v=21f2fff3 → 200 (?ms, 122184B)
[2026-06-03T14:44:09.536Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/rules/perf.js?v=21f2fff3 → 200 (1ms, 23587B)
[2026-06-03T14:44:09.537Z] GET http://localhost:4321/node_modules/.vite/deps/astro___aria-query.js?v=21f2fff3 → 200 (?ms, 205280B)
[2026-06-03T14:44:09.537Z] GET http://localhost:4321/node_modules/.vite/deps/astro___axobject-query.js?v=21f2fff3 → 200 (?ms, 112534B)
[2026-06-03T14:44:09.835Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:09.837Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:09.851Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (2ms, 246262B)
[2026-06-03T14:44:10.158Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:10.160Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:10.162Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:11.005Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (28ms, 246262B)
[2026-06-03T14:44:11.041Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:44:11.044Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:44:12.077Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (3ms, 246262B)
[2026-06-03T14:44:12.094Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (27ms, 246262B)
[2026-06-03T14:44:12.121Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:44:12.936Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:12.937Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:44:12.939Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:12.760Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (2ms, 246262B)
[2026-06-03T14:44:12.762Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:12.763Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:13.083Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (2ms, 246262B)
[2026-06-03T14:44:13.086Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:44:13.086Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:13.383Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (2ms, 246262B)
[2026-06-03T14:44:13.385Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (2ms, 246262B)
[2026-06-03T14:44:13.387Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:14.772Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (4ms, 246262B)
[2026-06-03T14:44:14.780Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:44:14.781Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (6ms, 246262B)
[2026-06-03T14:44:14.894Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:14.895Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:14.896Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:15.227Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (15ms, 246262B)
[2026-06-03T14:44:15.243Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (35ms, 246262B)
[2026-06-03T14:44:15.279Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:44:15.769Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:44:15.770Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:44:15.770Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:15.845Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:15.847Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (2ms, 246262B)
[2026-06-03T14:44:15.849Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:17.391Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (3ms, 246262B)
[2026-06-03T14:44:17.398Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:17.403Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:44:18.487Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:18.489Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (1ms, 246262B)
[2026-06-03T14:44:18.493Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (?ms, 246262B)
[2026-06-03T14:44:19.161Z] GET http://localhost:4321/strivn-logo-full-white-web.png → 200 (2ms, 246262B)
